Customer,Amount
Michael Clark,50
Michael Clark,200
Michael Clark,500
Michael Clark,100
Michael Clark,200
Betty Stewart,100
Betty Stewart,50
Jeffrey Phillips,500
Jeffrey Phillips,80
Jeffrey Phillips,120
Jeffrey Phillips,250
Jeffrey Phillips,150
Carol Young,100
Carol Young,200
Dorothy Rogers,500
Steven Thompson,250
Betty Wright,100
Betty Wright,300
Ashley Moore,250
Ashley Moore,120
Ashley Moore,500
Ashley Moore,500
Elizabeth Lee,150
Gary Wright,80
Gary Wright,80
Gary Wright,250
Andrew Hall,120
Andrew Hall,200
Andrew Hall,200
Emily Evans,150
Mary Walker,300
Mary Walker,100
Mary Walker,300
Mary Walker,50
Mary Walker,120
Jennifer Collins,100
Jennifer Collins,80
Jennifer Collins,80
Jason Brown,100
Jason Brown,150
James Robinson,150
Joshua Baker,200
Linda Rogers,120
Linda Rogers,120
Linda Rogers,500
Linda Rogers,500
Linda Rogers,150
Ashley Baker,100
Ashley Baker,50
Ashley Baker,250
Ashley Baker,500
Ashley Baker,50
Susan Taylor,150
Jennifer Stewart,150
Jennifer Stewart,50
Jennifer Stewart,300
Jennifer Stewart,50
Jennifer Stewart,80
Jessica Edwards,80
Jessica Edwards,50
Jessica Edwards,150
Donald Nelson,200
Sandra Garcia,120
Sandra Garcia,500
Kenneth Perez,50
Elizabeth Carter,200
Elizabeth Carter,300
Elizabeth Carter,250
Jason Taylor,200
George Walker,150
George Walker,120
George Walker,500
Jessica Brown,250
Jessica Brown,50
Jessica Brown,500
Brian Wilson,250
Margaret Collins,120
Margaret Collins,250
Margaret Collins,120
Margaret Collins,100
Margaret Collins,250
Matthew Scott,100
Matthew Scott,120
Matthew Scott,100
Matthew Scott,500
Matthew Scott,120
Sarah Wilson,500
Sarah Wilson,100
Sarah Wilson,250
Amy Cook,100
Amy Cook,200
Sandra Morris,100
Daniel Anderson,200
Joshua Rogers,100
Joshua Rogers,120
Joshua Rogers,80
Thomas Thomas,150
Donna Martin,120
Donna Martin,120
Donna Martin,50
Donna Martin,200
Donna Martin,80
Timothy Cook,100
Timothy Cook,500
Timothy Cook,300
Timothy Cook,200
Patricia Allen,300
Patricia Allen,100
Patricia Allen,100
Patricia Allen,120
Barbara Williams,50
Barbara Williams,150
Barbara Williams,250
Barbara Williams,120
Jason Edwards,120
Jason Edwards,80
Patricia Scott,300
Patricia Scott,200
Patricia Scott,300
Patricia Scott,120
Patricia Scott,250
Steven Cook,250
Steven Campbell,500
Steven Campbell,500
Steven Campbell,50
Steven Campbell,500
Steven Campbell,80
Joshua Green,120
Steven Rogers,500
Jeffrey Parker,120
Steven Clark,300
Steven Clark,100
Steven Clark,250
Sarah Campbell,500
Deborah Anderson,300
Deborah Anderson,80
Deborah Anderson,500
Deborah Anderson,80
Patricia Cook,500
Patricia Cook,100
Patricia Cook,250
Patricia Cook,250
Patricia Cook,200
Cynthia Green,150
Daniel Stewart,80
Daniel Stewart,80
